Request id,Pickup point,Driver id,Status,Request timestamp,Drop timestamp,Request_date,Request_hour,Unmet_demand
4686,City,4,Trip Completed,14-07-2016 13:01,14-07-2016 13:45,14-07-2016 00:00,13,0
5771,Airport,4,Trip Completed,15-07-2016 08:30,15-07-2016 09:37,15-07-2016 00:00,8,0
6106,Airport,4,Trip Completed,15-07-2016 15:01,15-07-2016 15:47,15-07-2016 00:00,15,0
312,City,5,Trip Completed,11-07-2016 07:27,11-07-2016 08:31,11-07-2016 00:00,7,0
577,Airport,5,Trip Completed,11-07-2016 11:03,11-07-2016 12:01,11-07-2016 00:00,11,0
1179,City,5,Trip Completed,11-07-2016 20:58,11-07-2016 21:45,11-07-2016 00:00,20,0
1756,Airport,5,Trip Completed,12-07-2016 08:40,12-07-2016 09:23,12-07-2016 00:00,8,0
2052,City,5,Trip Completed,12-07-2016 14:48,12-07-2016 15:50,12-07-2016 00:00,14,0
2559,City,5,Trip Completed,12-07-2016 21:32,12-07-2016 22:29,12-07-2016 00:00,21,0
3014,City,5,Trip Completed,13-07-2016 07:28,13-07-2016 08:29,13-07-2016 00:00,7,0
3317,City,5,Trip Completed,13-07-2016 12:14,13-07-2016 12:46,13-07-2016 00:00,12,0
4297,City,5,Trip Completed,14-07-2016 06:43,14-07-2016 07:49,14-07-2016 00:00,6,0
5857,Airport,5,Trip Completed,15-07-2016 09:08,15-07-2016 10:07,15-07-2016 00:00,9,0
6690,Airport,5,Trip Completed,15-07-2016 22:41,15-07-2016 23:51,15-07-2016 00:00,22,0
1517,Airport,6,Trip Completed,12-07-2016 05:45,12-07-2016 06:28,12-07-2016 00:00,5,0
1999,Airport,6,Trip Completed,12-07-2016 13:02,12-07-2016 13:51,12-07-2016 00:00,13,0
2960,Airport,6,Trip Completed,13-07-2016 06:50,13-07-2016 07:40,13-07-2016 00:00,6,0
3882,City,6,Trip Completed,13-07-2016 21:53,13-07-2016 22:45,13-07-2016 00:00,21,0
4081,Airport,6,Trip Completed,14-07-2016 02:37,14-07-2016 03:30,14-07-2016 00:00,2,0
4740,City,6,Trip Completed,14-07-2016 14:50,14-07-2016 15:38,14-07-2016 00:00,14,0
5270,City,6,Trip Completed,14-07-2016 21:33,14-07-2016 22:25,14-07-2016 00:00,21,0
6758,Airport,6,Trip Completed,15-07-2016 00:03,15-07-2016 01:07,15-07-2016 00:00,0,0
5741,City,6,Trip Completed,15-07-2016 07:52,15-07-2016 08:38,15-07-2016 00:00,7,0
6087,Airport,6,Trip Completed,15-07-2016 14:28,15-07-2016 15:33,15-07-2016 00:00,14,0
1039,City,7,Trip Completed,11-07-2016 19:31,11-07-2016 20:41,11-07-2016 00:00,19,0
1273,Airport,7,Trip Completed,11-07-2016 22:07,11-07-2016 23:12,11-07-2016 00:00,22,0
2480,City,7,Trip Completed,12-07-2016 20:39,12-07-2016 21:28,12-07-2016 00:00,20,0
4105,City,7,Trip Completed,14-07-2016 03:39,14-07-2016 04:39,14-07-2016 00:00,3,0
4509,City,7,Trip Completed,14-07-2016 09:11,14-07-2016 10:17,14-07-2016 00:00,9,0
4986,Airport,7,Trip Completed,14-07-2016 18:52,14-07-2016 19:50,14-07-2016 00:00,18,0
5898,City,7,Trip Completed,15-07-2016 09:50,15-07-2016 10:40,15-07-2016 00:00,9,0
6142,Airport,7,Trip Completed,15-07-2016 15:50,15-07-2016 16:36,15-07-2016 00:00,15,0
380,Airport,8,Trip Completed,11-07-2016 08:18,11-07-2016 09:18,11-07-2016 00:00,8,0
1050,Airport,8,Trip Completed,11-07-2016 19:39,11-07-2016 20:30,11-07-2016 00:00,19,0
1769,City,8,Trip Completed,12-07-2016 08:57,12-07-2016 09:24,12-07-2016 00:00,8,0
2520,City,8,Trip Completed,12-07-2016 21:05,12-07-2016 22:20,12-07-2016 00:00,21,0
3265,Airport,8,Trip Completed,13-07-2016 10:22,13-07-2016 11:07,13-07-2016 00:00,10,0
4648,City,8,Trip Completed,14-07-2016 11:55,14-07-2016 12:59,14-07-2016 00:00,11,0
449,Airport,9,Trip Completed,11-07-2016 09:08,11-07-2016 09:52,11-07-2016 00:00,9,0
846,Airport,9,Trip Completed,11-07-2016 17:46,11-07-2016 18:52,11-07-2016 00:00,17,0
1346,Airport,9,Trip Completed,11-07-2016 23:39,12-07-2016 00:23,11-07-2016 00:00,23,0
1474,Airport,9,Trip Completed,12-07-2016 05:13,12-07-2016 05:56,12-07-2016 00:00,5,0
2240,City,9,Trip Completed,12-07-2016 18:20,12-07-2016 18:54,12-07-2016 00:00,18,0
3072,Airport,9,Trip Completed,13-07-2016 08:04,13-07-2016 08:36,13-07-2016 00:00,8,0
3459,Airport,9,Trip Completed,13-07-2016 17:03,13-07-2016 17:31,13-07-2016 00:00,17,0
3774,Airport,9,Trip Completed,13-07-2016 20:41,13-07-2016 21:27,13-07-2016 00:00,20,0
4023,City,9,Trip Completed,13-07-2016 23:58,14-07-2016 00:58,13-07-2016 00:00,23,0
4117,City,9,Trip Completed,14-07-2016 04:21,14-07-2016 05:07,14-07-2016 00:00,4,0
4880,Airport,9,Trip Completed,14-07-2016 17:58,14-07-2016 19:02,14-07-2016 00:00,17,0
5568,Airport,9,Trip Completed,15-07-2016 05:47,15-07-2016 06:25,15-07-2016 00:00,5,0
5994,Airport,9,Trip Completed,15-07-2016 11:51,15-07-2016 12:32,15-07-2016 00:00,11,0
1809,Airport,10,Trip Completed,12-07-2016 09:13,12-07-2016 10:01,12-07-2016 00:00,9,0
2064,Airport,10,Trip Completed,12-07-2016 15:08,12-07-2016 16:14,12-07-2016 00:00,15,0
3210,City,10,Trip Completed,13-07-2016 09:47,13-07-2016 10:52,13-07-2016 00:00,9,0
4350,City,10,Trip Completed,14-07-2016 07:24,14-07-2016 08:22,14-07-2016 00:00,7,0
4713,City,10,Trip Completed,14-07-2016 13:31,14-07-2016 14:10,14-07-2016 00:00,13,0
5629,Airport,10,Trip Completed,15-07-2016 06:33,15-07-2016 07:19,15-07-2016 00:00,6,0
6157,Airport,10,Trip Completed,15-07-2016 16:32,15-07-2016 17:44,15-07-2016 00:00,16,0
2030,City,11,Trip Completed,12-07-2016 14:11,12-07-2016 15:02,12-07-2016 00:00,14,0
3226,City,11,Trip Completed,13-07-2016 10:00,13-07-2016 11:02,13-07-2016 00:00,10,0
3353,City,11,Trip Completed,13-07-2016 13:29,13-07-2016 14:09,13-07-2016 00:00,13,0
4293,City,11,Trip Completed,14-07-2016 06:42,14-07-2016 07:12,14-07-2016 00:00,6,0
4936,City,11,Trip Completed,14-07-2016 18:22,14-07-2016 19:14,14-07-2016 00:00,18,0
5661,Airport,11,Trip Completed,15-07-2016 07:08,15-07-2016 07:59,15-07-2016 00:00,7,0
5778,City,11,Trip Completed,15-07-2016 08:22,15-07-2016 09:13,15-07-2016 00:00,8,0
6425,Airport,11,Trip Completed,15-07-2016 19:46,15-07-2016 20:26,15-07-2016 00:00,19,0
45,Airport,12,Trip Completed,11-07-2016 03:17,11-07-2016 04:09,11-07-2016 00:00,3,0
264,City,12,Trip Completed,11-07-2016 06:51,11-07-2016 07:40,11-07-2016 00:00,6,0
1183,City,12,Trip Completed,11-07-2016 21:05,11-07-2016 21:38,11-07-2016 00:00,21,0
1536,Airport,12,Trip Completed,12-07-2016 05:59,12-07-2016 06:59,12-07-2016 00:00,5,0
2437,City,12,Trip Completed,12-07-2016 20:18,12-07-2016 21:26,12-07-2016 00:00,20,0
2641,Airport,12,Trip Completed,12-07-2016 22:28,12-07-2016 23:05,12-07-2016 00:00,22,0
4077,Airport,12,Trip Completed,14-07-2016 02:14,14-07-2016 03:13,14-07-2016 00:00,2,0
4610,City,12,Trip Completed,14-07-2016 10:35,14-07-2016 11:39,14-07-2016 00:00,10,0
5066,Airport,12,Trip Completed,14-07-2016 19:31,14-07-2016 20:14,14-07-2016 00:00,19,0
5666,Airport,12,Trip Completed,15-07-2016 07:04,15-07-2016 08:12,15-07-2016 00:00,7,0
5923,City,12,Trip Completed,15-07-2016 10:07,15-07-2016 10:50,15-07-2016 00:00,10,0
6367,City,12,Trip Completed,15-07-2016 19:04,15-07-2016 19:46,15-07-2016 00:00,19,0
155,City,13,Trip Completed,11-07-2016 05:32,11-07-2016 06:28,11-07-2016 00:00,5,0
310,Airport,13,Trip Completed,11-07-2016 07:24,11-07-2016 08:28,11-07-2016 00:00,7,0
607,City,13,Trip Completed,11-07-2016 11:51,11-07-2016 12:42,11-07-2016 00:00,11,0
1012,City,13,Trip Completed,11-07-2016 19:15,11-07-2016 19:57,11-07-2016 00:00,19,0
1696,Airport,13,Trip Completed,12-07-2016 08:01,12-07-2016 08:42,12-07-2016 00:00,8,0
3076,City,13,Trip Completed,13-07-2016 08:09,13-07-2016 09:12,13-07-2016 00:00,8,0
4198,Airport,13,Trip Completed,14-07-2016 05:32,14-07-2016 06:45,14-07-2016 00:00,5,0
4627,City,13,Trip Completed,14-07-2016 11:13,14-07-2016 12:00,14-07-2016 00:00,11,0
5289,City,13,Trip Completed,14-07-2016 21:43,14-07-2016 22:24,14-07-2016 00:00,21,0
5495,Airport,13,Trip Completed,15-07-2016 05:00,15-07-2016 06:02,15-07-2016 00:00,5,0
6656,Airport,13,Trip Completed,15-07-2016 22:08,15-07-2016 22:41,15-07-2016 00:00,22,0
139,Airport,14,Trip Completed,11-07-2016 05:21,11-07-2016 06:09,11-07-2016 00:00,5,0
215,City,14,Trip Completed,11-07-2016 06:15,11-07-2016 07:07,11-07-2016 00:00,6,0
1816,City,14,Trip Completed,12-07-2016 09:24,12-07-2016 10:07,12-07-2016 00:00,9,0
2505,Airport,14,Trip Completed,12-07-2016 21:03,12-07-2016 22:14,12-07-2016 00:00,21,0
3346,City,14,Trip Completed,13-07-2016 13:01,13-07-2016 13:55,13-07-2016 00:00,13,0
5294,City,14,Trip Completed,14-07-2016 21:45,14-07-2016 22:16,14-07-2016 00:00,21,0
6226,Airport,14,Trip Completed,15-07-2016 17:34,15-07-2016 18:33,15-07-2016 00:00,17,0
6733,Airport,14,Trip Completed,15-07-2016 23:32,16-07-2016 00:37,15-07-2016 00:00,23,0
1027,Airport,15,Trip Completed,11-07-2016 19:18,11-07-2016 20:24,11-07-2016 00:00,19,0
2675,Airport,15,Trip Completed,12-07-2016 23:43,13-07-2016 00:35,12-07-2016 00:00,23,0
3200,City,15,Trip Completed,13-07-2016 09:39,13-07-2016 10:30,13-07-2016 00:00,9,0
3865,City,15,Trip Completed,13-07-2016 21:52,13-07-2016 22:21,13-07-2016 00:00,21,0
4468,City,15,Trip Completed,14-07-2016 08:42,14-07-2016 09:22,14-07-2016 00:00,8,0
5163,Airport,15,Trip Completed,14-07-2016 20:34,14-07-2016 21:05,14-07-2016 00:00,20,0
6009,City,15,Trip Completed,15-07-2016 12:22,15-07-2016 13:25,15-07-2016 00:00,12,0
6448,Airport,15,Trip Completed,15-07-2016 20:02,15-07-2016 20:40,15-07-2016 00:00,20,0
591,City,16,Trip Completed,11-07-2016 11:25,11-07-2016 12:31,11-07-2016 00:00,11,0
709,City,16,Trip Completed,11-07-2016 14:16,11-07-2016 15:03,11-07-2016 00:00,14,0
1167,Airport,16,Trip Completed,11-07-2016 20:50,11-07-2016 21:52,11-07-2016 00:00,20,0
2661,Airport,16,Trip Completed,12-07-2016 23:23,13-07-2016 00:27,12-07-2016 00:00,23,0
2808,City,16,Trip Completed,13-07-2016 05:05,13-07-2016 05:56,13-07-2016 00:00,5,0
3258,Airport,16,Trip Completed,13-07-2016 10:12,13-07-2016 10:45,13-07-2016 00:00,10,0
3413,Airport,16,Trip Completed,13-07-2016 15:32,13-07-2016 16:45,13-07-2016 00:00,15,0
3939,Airport,16,Trip Completed,13-07-2016 22:26,13-07-2016 22:55,13-07-2016 00:00,22,0
4125,City,16,Trip Completed,14-07-2016 04:37,14-07-2016 05:46,14-07-2016 00:00,4,0
4457,City,16,Trip Completed,14-07-2016 08:36,14-07-2016 09:19,14-07-2016 00:00,8,0
4728,City,16,Trip Completed,14-07-2016 14:04,14-07-2016 15:06,14-07-2016 00:00,14,0
5347,Airport,16,Trip Completed,14-07-2016 22:51,14-07-2016 23:53,14-07-2016 00:00,22,0
6147,City,16,Trip Completed,15-07-2016 16:11,15-07-2016 17:30,15-07-2016 00:00,16,0
6496,Airport,16,Trip Completed,15-07-2016 20:33,15-07-2016 21:32,15-07-2016 00:00,20,0
634,City,17,Trip Completed,11-07-2016 12:25,11-07-2016 13:06,11-07-2016 00:00,12,0
939,Airport,17,Trip Completed,11-07-2016 18:25,11-07-2016 19:26,11-07-2016 00:00,18,0
2628,Airport,17,Trip Completed,12-07-2016 22:10,12-07-2016 23:25,12-07-2016 00:00,22,0
3021,City,17,Trip Completed,13-07-2016 07:33,13-07-2016 08:26,13-07-2016 00:00,7,0
4743,City,17,Trip Completed,14-07-2016 14:54,14-07-2016 15:39,14-07-2016 00:00,14,0
4981,City,17,Trip Completed,14-07-2016 18:47,14-07-2016 19:43,14-07-2016 00:00,18,0
5367,Airport,17,Trip Completed,14-07-2016 23:35,15-07-2016 00:25,14-07-2016 00:00,23,0
5471,Airport,17,Trip Completed,15-07-2016 04:48,15-07-2016 05:47,15-07-2016 00:00,4,0
5988,Airport,17,Trip Completed,15-07-2016 11:48,15-07-2016 12:55,15-07-2016 00:00,11,0
6477,Airport,17,Trip Completed,15-07-2016 20:21,15-07-2016 21:00,15-07-2016 00:00,20,0
499,City,18,Trip Completed,11-07-2016 09:39,11-07-2016 10:16,11-07-2016 00:00,9,0
1147,Airport,18,Trip Completed,11-07-2016 20:42,11-07-2016 21:18,11-07-2016 00:00,20,0
1410,Airport,18,Trip Completed,12-07-2016 03:14,12-07-2016 04:27,12-07-2016 00:00,3,0
1804,Airport,18,Trip Completed,12-07-2016 09:12,12-07-2016 09:57,12-07-2016 00:00,9,0
1949,Airport,18,Trip Completed,12-07-2016 11:32,12-07-2016 12:13,12-07-2016 00:00,11,0
2713,City,18,Trip Completed,13-07-2016 01:46,13-07-2016 02:37,13-07-2016 00:00,1,0
2845,City,18,Trip Completed,13-07-2016 05:28,13-07-2016 06:10,13-07-2016 00:00,5,0
3943,Airport,18,Trip Completed,13-07-2016 22:35,13-07-2016 23:33,13-07-2016 00:00,22,0
4792,City,18,Trip Completed,14-07-2016 16:47,14-07-2016 17:34,14-07-2016 00:00,16,0
5207,Airport,18,Trip Completed,14-07-2016 20:57,14-07-2016 21:56,14-07-2016 00:00,20,0
5890,City,18,Trip Completed,15-07-2016 09:43,15-07-2016 10:55,15-07-2016 00:00,9,0
494,City,19,Trip Completed,11-07-2016 09:36,11-07-2016 10:02,11-07-2016 00:00,9,0
1485,City,19,Trip Completed,12-07-2016 05:21,12-07-2016 06:35,12-07-2016 00:00,5,0
2042,City,19,Trip Completed,12-07-2016 14:30,12-07-2016 15:09,12-07-2016 00:00,14,0
2561,Airport,19,Trip Completed,12-07-2016 21:29,12-07-2016 22:44,12-07-2016 00:00,21,0
3813,Airport,19,Trip Completed,13-07-2016 21:06,13-07-2016 21:46,13-07-2016 00:00,21,0
4260,Airport,19,Trip Completed,14-07-2016 06:11,14-07-2016 06:59,14-07-2016 00:00,6,0
4395,City,19,Trip Completed,14-07-2016 08:00,14-07-2016 08:54,14-07-2016 00:00,8,0
5919,City,19,Trip Completed,15-07-2016 10:03,15-07-2016 10:59,15-07-2016 00:00,10,0
6002,Airport,19,Trip Completed,15-07-2016 12:04,15-07-2016 12:53,15-07-2016 00:00,12,0
468,City,20,Trip Completed,11-07-2016 09:20,11-07-2016 10:05,11-07-2016 00:00,9,0
693,Airport,20,Trip Completed,11-07-2016 13:51,11-07-2016 15:01,11-07-2016 00:00,13,0
1178,City,20,Trip Completed,11-07-2016 21:05,11-07-2016 22:06,11-07-2016 00:00,21,0
2103,City,20,Trip Completed,12-07-2016 16:08,12-07-2016 17:18,12-07-2016 00:00,16,0
2292,Airport,20,Trip Completed,12-07-2016 18:46,12-07-2016 19:23,12-07-2016 00:00,18,0
3339,City,20,Trip Completed,13-07-2016 12:40,13-07-2016 13:30,13-07-2016 00:00,12,0
3694,City,20,Trip Completed,13-07-2016 19:33,13-07-2016 20:35,13-07-2016 00:00,19,0
4469,City,20,Trip Completed,14-07-2016 08:45,14-07-2016 09:48,14-07-2016 00:00,8,0
6432,City,20,Trip Completed,15-07-2016 19:50,15-07-2016 20:30,15-07-2016 00:00,19,0
1895,City,21,Trip Completed,12-07-2016 10:20,12-07-2016 10:52,12-07-2016 00:00,10,0
1981,Airport,21,Trip Completed,12-07-2016 12:23,12-07-2016 12:56,12-07-2016 00:00,12,0
3744,Airport,21,Trip Completed,13-07-2016 20:28,13-07-2016 21:22,13-07-2016 00:00,20,0
4433,Airport,21,Trip Completed,14-07-2016 08:26,14-07-2016 09:12,14-07-2016 00:00,8,0
6039,Airport,21,Trip Completed,15-07-2016 13:11,15-07-2016 13:38,15-07-2016 00:00,13,0
6543,City,21,Trip Completed,15-07-2016 20:54,15-07-2016 22:12,15-07-2016 00:00,20,0
110,City,22,Trip Completed,11-07-2016 05:05,11-07-2016 06:06,11-07-2016 00:00,5,0
362,City,22,Trip Completed,11-07-2016 08:01,11-07-2016 09:18,11-07-2016 00:00,8,0
666,Airport,22,Trip Completed,11-07-2016 13:02,11-07-2016 13:45,11-07-2016 00:00,13,0
926,City,22,Trip Completed,11-07-2016 18:28,11-07-2016 19:34,11-07-2016 00:00,18,0
1180,Airport,22,Trip Completed,11-07-2016 21:01,11-07-2016 22:14,11-07-2016 00:00,21,0
1900,City,22,Trip Completed,12-07-2016 10:32,12-07-2016 11:42,12-07-2016 00:00,10,0
2506,City,22,Trip Completed,12-07-2016 21:01,12-07-2016 21:38,12-07-2016 00:00,21,0
3064,City,22,Trip Completed,13-07-2016 08:02,13-07-2016 08:58,13-07-2016 00:00,8,0
3327,Airport,22,Trip Completed,13-07-2016 12:24,13-07-2016 13:23,13-07-2016 00:00,12,0
3601,City,22,Trip Completed,13-07-2016 18:39,13-07-2016 19:29,13-07-2016 00:00,18,0
4768,Airport,22,Trip Completed,14-07-2016 15:39,14-07-2016 16:49,14-07-2016 00:00,15,0
5142,City,22,Trip Completed,14-07-2016 20:17,14-07-2016 20:48,14-07-2016 00:00,20,0
5366,Airport,22,Trip Completed,14-07-2016 23:27,15-07-2016 00:19,14-07-2016 00:00,23,0
5575,City,22,Trip Completed,15-07-2016 05:53,15-07-2016 06:50,15-07-2016 00:00,5,0
5902,City,22,Trip Completed,15-07-2016 09:52,15-07-2016 10:37,15-07-2016 00:00,9,0
6694,Airport,22,Trip Completed,15-07-2016 22:45,15-07-2016 23:17,15-07-2016 00:00,22,0
523,Airport,23,Trip Completed,11-07-2016 09:48,11-07-2016 10:37,11-07-2016 00:00,9,0
747,City,23,Trip Completed,11-07-2016 15:53,11-07-2016 16:43,11-07-2016 00:00,15,0
1371,Airport,23,Trip Completed,12-07-2016 00:22,12-07-2016 01:33,12-07-2016 00:00,0,0
1553,City,23,Trip Completed,12-07-2016 06:09,12-07-2016 07:09,12-07-2016 00:00,6,0
1692,Airport,23,Trip Completed,12-07-2016 07:52,12-07-2016 09:01,12-07-2016 00:00,7,0
2114,City,23,Trip Completed,12-07-2016 16:36,12-07-2016 17:21,12-07-2016 00:00,16,0
2742,City,23,Trip Completed,13-07-2016 03:07,13-07-2016 03:51,13-07-2016 00:00,3,0
4273,City,23,Trip Completed,14-07-2016 06:17,14-07-2016 07:02,14-07-2016 00:00,6,0
4668,City,23,Trip Completed,14-07-2016 12:25,14-07-2016 13:34,14-07-2016 00:00,12,0
5425,City,23,Trip Completed,15-07-2016 02:23,15-07-2016 03:08,15-07-2016 00:00,2,0
5488,City,23,Trip Completed,15-07-2016 04:53,15-07-2016 06:00,15-07-2016 00:00,4,0
5781,City,23,Trip Completed,15-07-2016 08:35,15-07-2016 09:42,15-07-2016 00:00,8,0
5966,Airport,23,Trip Completed,15-07-2016 10:54,15-07-2016 11:58,15-07-2016 00:00,10,0
6122,City,23,Trip Completed,15-07-2016 15:26,15-07-2016 16:29,15-07-2016 00:00,15,0
357,Airport,24,Trip Completed,11-07-2016 08:00,11-07-2016 09:08,11-07-2016 00:00,8,0
1068,City,24,Trip Completed,11-07-2016 19:52,11-07-2016 20:48,11-07-2016 00:00,19,0
2689,Airport,24,Trip Completed,13-07-2016 00:34,13-07-2016 01:49,13-07-2016 00:00,0,0
2791,City,24,Trip Completed,13-07-2016 04:56,13-07-2016 05:33,13-07-2016 00:00,4,0
3321,City,24,Trip Completed,13-07-2016 12:23,13-07-2016 13:25,13-07-2016 00:00,12,0
3423,Airport,24,Trip Completed,13-07-2016 15:52,13-07-2016 16:50,13-07-2016 00:00,15,0
3761,Airport,24,Trip Completed,13-07-2016 20:35,13-07-2016 21:39,13-07-2016 00:00,20,0
4140,City,24,Trip Completed,14-07-2016 04:48,14-07-2016 06:05,14-07-2016 00:00,4,0
4656,City,24,Trip Completed,14-07-2016 12:06,14-07-2016 12:49,14-07-2016 00:00,12,0
4931,Airport,24,Trip Completed,14-07-2016 18:21,14-07-2016 18:54,14-07-2016 00:00,18,0
5268,City,24,Trip Completed,14-07-2016 21:29,14-07-2016 22:30,14-07-2016 00:00,21,0
5811,City,24,Trip Completed,15-07-2016 08:46,15-07-2016 09:26,15-07-2016 00:00,8,0
6139,Airport,24,Trip Completed,15-07-2016 15:45,15-07-2016 16:40,15-07-2016 00:00,15,0
6333,Airport,24,Trip Completed,15-07-2016 18:41,15-07-2016 19:53,15-07-2016 00:00,18,0
773,City,25,Trip Completed,11-07-2016 16:23,11-07-2016 17:21,11-07-2016 00:00,16,0
1123,City,25,Trip Completed,11-07-2016 20:20,11-07-2016 21:18,11-07-2016 00:00,20,0
2667,Airport,25,Trip Completed,12-07-2016 23:35,13-07-2016 00:40,12-07-2016 00:00,23,0
2833,City,25,Trip Completed,13-07-2016 05:27,13-07-2016 06:19,13-07-2016 00:00,5,0
3396,City,25,Trip Completed,13-07-2016 14:59,13-07-2016 15:57,13-07-2016 00:00,14,0
3590,City,25,Trip Completed,13-07-2016 18:31,13-07-2016 19:31,13-07-2016 00:00,18,0
3762,City,25,Trip Completed,13-07-2016 20:38,13-07-2016 21:21,13-07-2016 00:00,20,0
4566,City,25,Trip Completed,14-07-2016 09:48,14-07-2016 10:22,14-07-2016 00:00,9,0
4862,City,25,Trip Completed,14-07-2016 17:37,14-07-2016 18:41,14-07-2016 00:00,17,0
5564,Airport,25,Trip Completed,15-07-2016 05:41,15-07-2016 06:53,15-07-2016 00:00,5,0
6187,City,25,Trip Completed,15-07-2016 17:11,15-07-2016 18:08,15-07-2016 00:00,17,0
6642,City,25,Trip Completed,15-07-2016 22:07,15-07-2016 22:54,15-07-2016 00:00,22,0
322,City,26,Trip Completed,11-07-2016 07:31,11-07-2016 08:10,11-07-2016 00:00,7,0
793,City,26,Trip Completed,11-07-2016 17:04,11-07-2016 18:06,11-07-2016 00:00,17,0
898,Airport,26,Trip Completed,11-07-2016 18:14,11-07-2016 19:09,11-07-2016 00:00,18,0
1258,City,26,Trip Completed,11-07-2016 21:51,11-07-2016 23:00,11-07-2016 00:00,21,0
2832,City,26,Trip Completed,13-07-2016 05:20,13-07-2016 06:14,13-07-2016 00:00,5,0
3139,City,26,Trip Completed,13-07-2016 08:54,13-07-2016 09:22,13-07-2016 00:00,8,0
3438,City,26,Trip Completed,13-07-2016 16:12,13-07-2016 17:13,13-07-2016 00:00,16,0
3966,Airport,26,Trip Completed,13-07-2016 22:50,13-07-2016 23:27,13-07-2016 00:00,22,0
6401,Airport,26,Trip Completed,15-07-2016 19:33,15-07-2016 20:16,15-07-2016 00:00,19,0
204,City,27,Trip Completed,11-07-2016 06:04,11-07-2016 06:44,11-07-2016 00:00,6,0
632,Airport,27,Trip Completed,11-07-2016 12:20,11-07-2016 13:10,11-07-2016 00:00,12,0
763,City,27,Trip Completed,11-07-2016 16:19,11-07-2016 17:25,11-07-2016 00:00,16,0
1786,Airport,27,Trip Completed,12-07-2016 09:03,12-07-2016 09:58,12-07-2016 00:00,9,0
